SN,Name,Symbol,Status,Sector,Instrument,Email,Website
1,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Active,Microfinance,Equity,aarambhachautari@gmail.com,www.chautarimfb.com
2,Agricultural Development Bank Limited,ADBL,Active,Commercial Banks,Equity,cs@adbl.gov.np,
3,4% Agricultural Bond,ADBLB,Active,Commercial Banks,Non-Convertible Debentures,cs@adbl.gov.np,
4,Agricultural Bond (8 Year),ADBLB86,Active,Commercial Banks,Non-Convertible Debentures,cs@adbl.gov.np,
5,Agricultural Bond (9 Year),ADBLB87,Active,Commercial Banks,Non-Convertible Debentures,cs@adbl.gov.np,
6,10.35% Agricultural Bank Debenture 2083,ADBLD83,Active,Commercial Banks,Non-Convertible Debentures,cs@adbl.gov.np,
7,Asian Hydropower Limited,AHL,Active,Hydro Power,Equity,info@urjadeveloper.com,https://asianhydro.com.np/
8,Arun Valley Hydropower Development Co. Ltd.,AHPC,Active,Hydro Power,Equity,arunvalley2054@gmail.com,
9,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Active,Hydro Power,Equity,ankhukhola@yahoo.com,www.aankhukholahydropower.com.np
10,Arun Kabeli Power Ltd.,AKPL,Active,Hydro Power,Equity,arunkabeli@gmail.com,
11,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Active,Microfinance,Equity,ashamicrofinance@gmail.com,www.ashamicrofinance.com.np
12,Asian Life Insurance Co. Limited,ALICL,Active,Life Insurance,Equity,murariraj.humagain@asianlife.com.np,
13,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,Active,Microfinance,Equity,aatmanirbhar2076@gmail.com,https://aatmanirbhar.org.np
14,Api Power Company Ltd.,API,Active,Hydro Power,Equity,apipowercompany@gmail.com,www.apipower.com.np
15,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,Active,Microfinance,Equity,aviyanlaghu@gmail.com,https://www.aviyanlaghubitta.com/
16,Barun Hydropower Co. Ltd.,BARUN,Active,Hydro Power,Equity,barunhydro@gmail.com,
17,Bishal Bazar Company Limited,BBC,Active,Tradings,Equity,info@bishalbazar.com.np,
18,Bhugol Energy Development Company Limited,BEDC,Active,Hydro Power,Equity,energy.bhugol@gmail.com,www.bedc.com.np
19,Best Finance Company Ltd.,BFC,Active,Finance,Equity,raj.shrestha@bestfinance.com.np,
20,Bindhyabasini Hydropower Development Company Limited,BHDC,Active,Hydro Power,Equity,info.bhdc@rmgroup.com.np,https://bindhyabasinihydro.com.np
21,Balephi Hydropower Limited,BHL,Active,Hydro Power,Equity,info.balephi@gmail.com,www.balephihydro.com
22,Barahi Hydropower Public Limited,BHPL,Active,Hydro Power,Equity,bhpl.acc@gmail.com,www.barahihydropower.com.np
23,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,Active,Hydro Power,Equity,lowertadi@gmail.com,https://buddhabhumihydro.com/
24,Bottlers Nepal (Balaju) Limited,BNL,Active,Manufacturing And Processing,Equity,prburma@coca-cola.com.np,
25,Bottlers Nepal (Terai) Limited,BNT,Active,Manufacturing And Processing,Equity,investorrelations@coca-cola.com.np,
26,8% BOK Debenture 2079,BOKD2079,Active,Commercial Banks,Non-Convertible Debentures,deepak.gautam@bok.com.np,
27,8.5% BOK Debenture 2086,BOKD86,Active,Commercial Banks,Non-Convertible Debentures,deepak.gautam@bok.com.np,
28,"BOK Debenture 2086 ""KA""",BOKD86KA,Active,Commercial Banks,Non-Convertible Debentures,deepak.gautam@bok.com.np,
